ID_FC,FC,FC Age,FC Age Minimum,FC Age Maximum,FC Age Category,FC estimate Biological Sex,FC (point estimate) height,FC height min estimated,FC height max estimated,FC Recovery Location,FC Estimated Date of Death/Burial,FC Recovery Date,Unnamed: 0,Name,Age,Sex,Personal effects,ID_MP,biolsex_score,age_v1_score,age_v2_score,Final Score T1,Final Score T2
FC-1024,MAC03-RP2-B006,,35,55,Adult,Female,,153.0,160.0,Machara,,31/07/2017,949,"827,0000",33,Female,1.0,MP-950,0.98871604,0.0212498,0.01718709,0.021010018106792,0.0169931515639236
FC-1024,MAC03-RP2-B006,,35,55,Adult,Female,,153.0,160.0,Machara,,31/07/2017,470,"908,0000",33,Female,1.0,MP-471,0.98871604,0.0212498,0.01718709,0.021010018106792,0.0169931515639236
FC-1024,MAC03-RP2-B006,,35,55,Adult,Female,,153.0,160.0,Machara,,31/07/2017,546,"898,0000",33,Female,2.0,MP-547,0.98871604,0.0212498,0.01718709,0.021010018106792,0.0169931515639236
FC-1024,MAC03-RP2-B006,,35,55,Adult,Female,,153.0,160.0,Machara,,31/07/2017,61,"910,0000",33,Female,1.0,MP-62,0.98871604,0.0212498,0.01718709,0.021010018106792,0.0169931515639236
FC-1024,MAC03-RP2-B006,,35,55,Adult,Female,,153.0,160.0,Machara,,31/07/2017,922,"833,0000",59,Female,2.0,MP-923,0.98871604,0.0154427,0.01677882,0.015268445190908,0.0165894884662728
FC-1024,MAC03-RP2-B006,,35,55,Adult,Female,,153.0,160.0,Machara,,31/07/2017,923,"792,0000",59,Female,1.0,MP-924,0.98871604,0.0154427,0.01677882,0.015268445190908,0.0165894884662728
FC-1063,SUK37-RP1-B001,,50,,Adult,Female,,143.0,151.0,Sukhumi,,,923,"792,0000",59,Female,1.0,MP-924,0.98871604,0.0154427,0.01669809,0.015268445190908,0.0165096694203636
FC-1063,SUK37-RP1-B001,,50,,Adult,Female,,143.0,151.0,Sukhumi,,,922,"833,0000",59,Female,2.0,MP-923,0.98871604,0.0154427,0.01669809,0.015268445190908,0.0165096694203636
FC-1063,SUK37-RP1-B001,,50,,Adult,Female,,143.0,151.0,Sukhumi,,,439,"819,0000",58,Female,2.0,MP-440,0.98871604,0.01612944,0.01612928,0.015947436044217597,0.0159472778496512
FC-1063,SUK37-RP1-B001,,50,,Adult,Female,,143.0,151.0,Sukhumi,,,301,"936,0000",58,Female,2.0,MP-302,0.98871604,0.01612944,0.01612928,0.015947436044217597,0.0159472778496512
FC-1063,SUK37-RP1-B001,,50,,Adult,Female,,143.0,151.0,Sukhumi,,,441,"753,0000",57,Female,1.0,MP-442,0.98871604,0.01676968,0.01551313,0.016580451601667198,0.0153380804616052
FC-1063,SUK37-RP1-B001,,50,,Adult,Female,,143.0,151.0,Sukhumi,,,173,"841,0000",57,Female,2.0,MP-174,0.98871604,0.01676968,0.01551313,0.016580451601667198,0.0153380804616052
FC-1024,MAC03-RP2-B006,,35,55,Adult,Female,,153.0,160.0,Machara,,31/07/2017,349,"766,0000",60,Female,2.0,MP-350,0.98871604,0.01471348,0.01508042,0.014547453680219199,0.014910253143936802
FC-1024,MAC03-RP2-B006,,35,55,Adult,Female,,153.0,160.0,Machara,,31/07/2017,826,"763,0000",60,Female,2.0,MP-827,0.98871604,0.01471348,0.01508042,0.014547453680219199,0.014910253143936802
FC-1024,MAC03-RP2-B006,,35,55,Adult,Female,,153.0,160.0,Machara,,31/07/2017,730,"912,0000",60,Female,1.0,MP-731,0.98871604,0.01471348,0.01508042,0.014547453680219199,0.014910253143936802
FC-1063,SUK37-RP1-B001,,50,,Adult,Female,,143.0,151.0,Sukhumi,,,352,"835,0000",56,Female,2.0,MP-353,0.98871604,0.01736055,0.01485234,0.017164654248222,0.0146847467895336
FC-1063,SUK37-RP1-B001,,50,,Adult,Female,,143.0,151.0,Sukhumi,,,927,"838,0000",56,Female,2.0,MP-928,0.98871604,0.01736055,0.01485234,0.017164654248222,0.0146847467895336
FC-1063,SUK37-RP1-B001,,50,,Adult,Female,,143.0,151.0,Sukhumi,,,205,"829,0000",56,Female,2.0,MP-206,0.98871604,0.01736055,0.01485234,0.017164654248222,0.0146847467895336
FC-1063,SUK37-RP1-B001,,50,,Adult,Female,,143.0,151.0,Sukhumi,,,830,"787,0000",56,Female,1.0,MP-831,0.98871604,0.01736055,0.01485234,0.017164654248222,0.0146847467895336
FC-1063,SUK37-RP1-B001,,50,,Adult,Female,,143.0,151.0,Sukhumi,,,444,"799,0000",55,Female,2.0,MP-445,0.98871604,0.01790034,0.01415072,0.017698353279453603,0.013991043841548801
